play,comments,danmu,favorites,coins
1426405,16170,53458,3751,11157
6,0,0,0,0
100973,634,5893,278,452
73176,412,1202,99,193
832,10,167,67,13
32,1,0,0,1
354,8,47,12,18
128,3,5,3,0
315,4,6,47,6
46,1,4,0,4
30,1,1,0,2
299,33,17,3,7
90,10,0,10,2
4,0,0,0,0
48,14,8,0,15
251,13,1,11,2
45,7,4,0,2
22,1,1,0,0
177,5,1,9,6
44,2,0,0,1
58,16,6,3,9
55,0,0,1,0
69,2,0,6,0
86,5,2,3,1
9,0,1,0,0
53,4,1,1,4
223,3,6,1,4
161,2,3,2,0
171,0,3,0,0
99,0,8,1,6
50,0,1,0,0
165,16,38,4,11
110,0,0,4,3
213,9,1,2,0
170,0,5,4,0
105,2,4,1,5
148,40,14,3,31
74,0,0,0,0
671,5,12,25,4
0,0,0,0,0
133,1,2,2,0
190,3,5,2,4
111,0,0,9,1
185,2,3,1,2
221,64,17,4,30
172,2,1,0,0
23,0,0,0,0
329,5,5,1,4
267,3,2,12,2
27,0,0,1,0
353,2,3,7,0
120,1,0,3,0
39,4,8,1,3
247,3,20,12,7
173,2,4,7,4
210,6,4,5,1
1611,12,42,5,8
47,1,0,0,0
45,0,0,1,1
2223,8,24,20,2
19,0,0,0,0
101,4,3,9,0
1358,77,199,22,150
29,1,0,0,0
156,2,4,4,6
1720,83,159,212,113
15,0,0,1,0
150,1,4,2,1
235,0,12,1,0
26,0,2,1,1
46,2,0,0,2
33,0,0,1,0
34,1,1,0,0
147,8,5,5,5
120,5,5,1,9
394,8,6,24,4
160,2,13,13,8
280,1,0,0,3
243,51,30,3,23
197,10,11,4,4
75,0,1,0,0
211,7,67,6,10
120,0,0,1,0
40,0,0,3,0
188,5,0,1,3
279,1,2,7,0
37,1,2,1,1
213,4,4,4,5
1084,14,69,15,29
107,0,0,11,0
566,0,4,52,0
91,7,3,7,2
493,3,6,1,5
106,0,8,9,1
50,0,0,3,1
76,6,0,3,2
274,1,1,1,0
79,7,13,3,4
1,0,0,0,0
340,14,90,28,33
2357,37,55,86,69
45,1,3,0,0
561,1,11,11,1
36,0,3,0,2
136,11,3,1,4
167,2,2,2,0
7,0,0,0,0
49085,469,4448,684,292
3451,15,62,60,8
114,0,3,0,1
72,3,1,4,0
17236,137,1036,418,58
12,0,0,0,0
3295,9,135,45,8
68,0,1,2,0
160,0,4,3,2
149,20,6,0,2
201,3,1,4,0
124,1,0,2,0
616,4,52,35,14
177,0,1,0,0
2672,30,58,10,4
750,8,64,68,4
462,2,2,46,2
98,2,1,4,3
757,1,7,17,1
1575,3,22,50,2
89,1,2,1,4
35,0,0,0,0
149,0,4,1,4
1087,14,14,9,13
9248,81,98,310,30
261,8,36,5,9
32,0,0,1,0
459,9,19,44,3
446,112,35,27,90
9,0,0,0,0
90,0,12,4,5
7,0,0,0,0
21,2,6,0,6
249,2,4,0,0
12,1,0,0,0
99,2,1,2,0
138,0,0,10,4
53,0,2,0,4
593,0,3,8,1
257,12,2,9,0
88,1,3,1,0
177,4,6,6,3
55,13,3,4,9
22201,239,654,1240,2668
14,0,0,0,0
126,0,32,1,0
52,5,2,1,4
918,9,25,17,1
53,3,1,0,3
1330,20,42,68,32
109,20,12,3,7
384,2,1,14,0
417,12,10,4,3
18,0,0,0,0
117,0,0,2,1
255,2,2,5,0
118,10,1,5,5
183,12,34,5,3
92,2,3,0,8
44,0,2,1,0
270,7,8,15,8
58,0,0,1,0
118,2,0,1,2
31,0,3,2,1
40,1,0,2,5
89,1,0,0,3
425,2,26,20,3
532,7,8,14,11
546,3,13,25,1
1187,17,95,3,13
2877,13,39,337,13
52,0,0,2,0
144,1,1,0,2
163,6,38,3,11
225,4,2,0,4
9,0,2,0,0
87,3,0,0,0
761,9,4,9,4
884,12,42,52,26
871,12,13,31,4
950,10,15,3,2
38,7,3,2,2
285,5,32,19,9
89,8,30,4,3
16,0,0,0,0
143,23,4,9,9
660,0,4,11,2
2223,4,18,5,2
42,0,0,0,0
830,9,1,2,3
91,0,2,3,0
682,4,100,68,1
600,1,15,7,2
485,4,4,12,2
102,0,0,2,0
134,7,23,2,6
70,0,0,0,4
1720,12,51,2,5
1908,11,83,16,13
74,0,1,1,2
45,2,16,2,1
7490,5,17,22,4
13,0,0,0,0
113,0,0,1,2
664,14,36,9,13
63,1,7,8,2
356,22,11,2,9
176,1,4,5,2
2650,24,59,186,15
749,8,114,10,7
